;Code indicateur;Thématique;Métrique;Unité / Détail;Mots clés;Keywords;à avoir;must have;code_vsme;defaut
36;C7;Droits humains – incidents graves dans la chaîne de valeur;Incidents confirmés dans la chaîne de valeur, les communautés affectées, les consommateurs ou utilisateurs finaux;binaire (Oui/Non) + description;chaîne de valeur, fournisseurs, communautés, consommateurs, incidents, droits humains;value chain, suppliers, communities, consumers, incidents, human rights;chaîne de valeur, droits humains;human rights, communities;C7_7;1
37;C8;Revenus par secteurs sensibles;Chiffre d’affaires provenant des armes controversées (mines antipersonnel, armes chimiques, biologiques, sous-munitions);€ et/ou % du chiffre d’affaires total;armes controversées, mines antipersonnel, sous-munitions, armement, défense, revenus;controversial weapons, antipersonnel mines, cluster munitions, chemical weapons, biological weapons, revenue;revenus, armes controversées;controversial weapons, antipersonnel mines;C8_1;1
38;C8;Revenus par secteurs sensibles;Chiffre d’affaires provenant de la culture et de la production de tabac;€ et/ou % du chiffre d’affaires total;tabac, cigarette, culture, production, secteur sensible, revenus;tobacco, cigarettes, cultivation, production, sensitive sector, revenue;revenus, secteur sensible;sensitive sector, cultivation;C8_2;1
39;C8;Revenus par secteurs sensibles;Chiffre d’affaires provenant du secteur des combustibles fossiles (total);€ et/ou % du chiffre d’affaires total;combustibles fossiles, pétrole, gaz, charbon, exploration, production, revenus;fossil fuels, oil, gas, coal, exploration, production, revenue;revenus, combustibles fossiles;fossil fuels, exploration;C8_3;1
40;C8;Revenus par secteurs sensibles;Chiffre d’affaires provenant du charbon;€ et/ou % du chiffre d’affaires total;charbon, extraction, exploitation minière, centrale à charbon, revenus;coal, mining, coal power, extraction, revenue;revenus, exploitation minière;coal power, extraction;C8_4;1
41;C8;Revenus par secteurs sensibles;Chiffre d’affaires provenant du pétrole;€ et/ou % du chiffre d’affaires total;pétrole, exploration, production, raffinage, distribution, revenus;oil, exploration, production, refining, distribution, revenue;revenus, distribution;distribution, exploration;C8_5;1
42;C8;Revenus par secteurs sensibles;Chiffre d’affaires provenant du gaz;€ et/ou % du chiffre d’affaires total;gaz, extraction, liquéfaction, transport, distribution, revenus;gas, extraction, liquefaction, transport, distribution, revenue;revenus, distribution;distribution, liquefaction;C8_6;1
43;C8;Revenus par secteurs sensibles;Chiffre d’affaires provenant de la fabrication de pesticides et autres produits agrochimiques;€ et/ou % du chiffre d’affaires total;pesticides, agrochimie, produits phytosanitaires, fabricant, revenus;pesticides, agrochemicals, crop protection, manufacturer, revenue;revenus, produits phytosanitaires;crop protection, agrochemicals;C8_7;1
44;C8;Référentiels et indices;Exclusion de l’entreprise des indices de référence de l’UE alignés sur l’Accord de Paris;binaire (Oui/Non) + description;indices de référence, benchmarks UE, alignement Paris, exclusion, investissement durable;EU benchmarks, Paris-aligned, exclusion, sustainable investment, reference index;investissement durable, indices de référence;sustainable investment, reference index;C8_8;1
45;C9;Gouvernance / Diversité;Ratio de diversité femmes / hommes dans l’organe de gouvernance (conseil, direction, etc.);%;gouvernance, conseil d’administration, direction, diversité, femmes, hommes, parité;governance, board of directors, management body, diversity, gender balance, parity;conseil d’administration, direction;board of directors, management body;C9_1;1
